game_num,completed_at,first_guess,word,turns
74,2022-01-12 01:23:20.627244,would,renly,5
75,2022-01-12 01:23:20.747348,would,lacan,4
76,2022-01-12 01:23:20.867590,would,ducal,4
77,2022-01-12 01:23:20.992943,would,climb,3
78,2022-01-12 01:23:21.114479,would,divot,4
79,2022-01-12 01:23:21.235969,would,jamal,4
80,2022-01-12 01:23:21.503492,would,siler,5
81,2022-01-12 01:23:21.724827,would,bjork,6
82,2022-01-12 01:23:21.848086,would,selig,5
83,2022-01-12 01:23:21.993387,would,rafah,5
84,2022-01-12 01:23:22.121502,would,raoul,3
85,2022-01-12 01:23:22.251172,would,dolor,6
86,2022-01-12 01:23:22.378550,would,olsen,4
87,2022-01-12 01:23:22.515745,would,boggs,5
88,2022-01-12 01:23:22.661480,would,pitta,5
89,2022-01-12 01:23:22.802393,would,saarc,5
90,2022-01-12 01:23:22.935426,would,coffs,8
91,2022-01-12 01:23:23.061592,would,baloo,4
92,2022-01-12 01:23:23.199116,would,lilia,6
93,2022-01-12 01:23:23.318061,would,kayla,4
94,2022-01-12 01:23:23.462116,would,zarya,4
95,2022-01-12 01:23:23.582271,would,tyrod,4
96,2022-01-12 01:23:23.727986,would,macys,6
97,2022-01-12 01:23:23.844560,would,asura,5
98,2022-01-12 01:23:23.971618,would,poise,5
99,2022-01-12 01:23:24.114648,would,janey,4
0,2022-01-12 01:23:24.238651,other,amgen,4
1,2022-01-12 01:23:24.365618,other,momma,6
2,2022-01-12 01:23:24.496570,other,wayyy,7
3,2022-01-12 01:23:24.608492,other,party,3
4,2022-01-12 01:23:24.730027,other,gagne,4
5,2022-01-12 01:23:24.861297,other,yukio,5
6,2022-01-12 01:23:24.982918,other,pithy,4
7,2022-01-12 01:23:25.116207,other,lilli,7
8,2022-01-12 01:23:25.240169,other,plait,5
9,2022-01-12 01:23:25.359767,other,navel,4
10,2022-01-12 01:23:25.483135,other,index,3
11,2022-01-12 01:23:25.606630,other,threw,3
12,2022-01-12 01:23:25.723962,other,filet,4
13,2022-01-12 01:23:25.844970,other,ollie,4
14,2022-01-12 01:23:25.960814,other,south,2
15,2022-01-12 01:23:26.082471,other,brule,5
16,2022-01-12 01:23:26.200288,other,chefs,6
17,2022-01-12 01:23:26.329350,other,trobe,5
18,2022-01-12 01:23:26.451949,other,earns,4
19,2022-01-12 01:23:26.565974,other,porky,6
20,2022-01-12 01:23:26.678937,other,ghani,6
21,2022-01-12 01:23:26.793375,other,donte,7
